name,id,Location X (m),Location Y (m),Location Z (m),Rated Electrical Power (MW),Efficiency (%),Heat load (kW)
z2_IPNC,4d609fb9-5322-4ad7-8397-646321e23838,71.47,-6.43,5.24,3.13,98,62.6
z2_DC_Charging_Power_Supply_1,4342a2c6-4fcf-4e95-a24b-87d210c75f86,42.4,3.8,8.3,4.16,98,83.2
z2_DC_Charging_Power_Supply_2,cd976801-cb69-489a-aa3b-bc023ec9e0ae,42.4,-3.8,8.3,4.16,98,83.2
z3_IPNC,f133292a-5cfd-4acb-b647-84b827d61bd6,87.57,4.92,8.22,2.51,98,50.2
z2_RADAR_Support_Eq,b3a58dfa-ef7a-409b-ad9a-baa28a99641c,57.55,0,14.85,2.01,98,40.2
z3_LM2500P_RECT_S,cde63be6-8e7b-4614-b304-03ec06fc3e3e,89.88,-6.5,2.85,17.4,98,348
z4_LM500_RECT_P,c090515d-75c7-479d-94e3-7773d4e3ad3a,132,3.54,8.5,2.24,98,44.8
z2_LM2500P_RECT_P,0906ad1c-b7ce-4116-9d49-6d1d136612f7,64,-6,2.85,17.4,98,348
z2_DC_Charging_Power_Supply_3,5cd2bec8-928a-4e2b-9ada-38f95b8d2804,48.2,6,8.3,4.16,98,83.2
z2_PMM_Drive_S,3c28656c-3209-476c-878b-048725e81cc6,79.9,-1.06,2.74,37.51,98,750.2
z4_laser_support_eq,fd0b44ef-c3a8-4638-a31d-386d0d8164fb,112.64,0,11.69,0.31,98,6.2
Z3_Radar_Support_EQ,081d4605-f446-4047-a872-a2a6440282a1,95.33,0,14.85,1.01,98,20.2
z3_PMM_Drive_P,bffdfb8c-5a1f-40c9-a7df-b34bf2dd95d0,105.02,0.58,2.11,37.51,98,750.2
z2_InTop_Eqpt_S,58ee363e-0e6a-4f2e-98ec-0e7d4a88fed8,72,5.82,22,1.51,98,30.2
Z1_SONAR_SUPPORT_EQ,3765474D-C1BD-4132-BC1A-9BBE5FE3ABB9,14.19,0,3.85,0.31,98,6.2
z3_LM2500P_RECT_P,81f54547-2f0b-4e69-b525-ba1d4d858fc2,96.31,-6.5,2.85,17.4,98,348
z4_LM500_RECT_S,554bf311-0ba6-46cc-b723-883c3198a1ce,136.3,3.54,8.5,2.24,98,44.8
z1_ACLC,271c2802-7f9d-4cee-bc6f-fd95ee003978,35.77,2.31,8.22,7.82,98,156.4
z2_ACLC,492387ba-4a54-45ed-817b-36f83c629b31,67.7,-6.43,5.17,7.45,98,149
z4_ACLC,f2f4e462-06c2-4cd1-bf32-2b9bfaaeb5aa,136.55,1.18,6.14,5.67,98,113.4
z3_ACLC,11f6803a-d661-484d-a53a-25dc6b9f6ec5,91.41,4.97,8.22,6.61,98,132.2
z4_LM500DW_S,eb85148e-e4d2-4d8c-a928-b5a29dca30d1,133.8,6.51,8.15,3.7,98,74
z2_LM2500DW_P,4e6e7bcc-2a38-4bc1-bb44-a659d9b86170,67.7,-2.5,3.19,29,98,580
z3_LM500DW_S,abbfc2da-69ba-46f3-9f83-097c08637fb3,89.02,3,3.19,3.7,98,74
z3_LM2500DW_P,4511814f-de76-4f6c-bd03-091f5fa681a0,93.13,-3,3.19,29,98,580
z1_EDG,ecfe6410-6270-4d28-8b8f-ab6e2f0d9400,34.93,2.75,3.8,0.55,98,11
z2_LM2500DW_S,1fd65614-301d-41f3-9609-bd06d37647ac,67.7,2.5,3.19,29,98,580
z2_Railgun_CapBank_2,1f02e98a-3441-4fe2-a34d-0527b0945871,41.05,-1.5,7.62,4.25,98,85
z2_Railgun_CapBank_1,70eae800-47b5-4b0b-9705-788e8849632f,41.05,1.5,7.62,4.25,98,85
z2_Railgun_CapBank_4,b38203cc-75fa-440d-b082-73778f3d55d8,46.6,-1.5,7.62,4.25,98,85
z2_Railgun_CapBank_3,5a1d73ee-dbb3-418a-8d05-6bae154dcf4e,46.6,1.5,7.62,4.25,98,85
z2_Railgun_ESM,79789931-dfee-45a6-8e10-52f5d96cdc21,50.5,-3.26,7.88,4.25,98,85
z4_CHILLER_P,ed1db1f0-f2f3-4d28-bb5b-705327e97c5a,133.81,-4.11,6.22,1.1,100,0
z1_CHILLER_P,836a3c1f-51f0-4fc6-b38f-50013062ef74,34.18,-2.78,3.66,1.1,100,0
Z3_CryoChiller_P,33ee49aa-7298-4ad5-9bb1-33ae102e72c2,104.09,-7,3.8,0.06,100,0
z2_CryoChiller_S,3dd70324-9310-4f48-b2f5-875a6de76d41,46.37,8.5,9.25,0.06,100,0
z3_CHILLER_S,73039900-6ed1-4583-bb04-16743af089a5,105.19,3.73,5.42,1.1,100,0
z2_CryoChiller_P,b11bc205-ec21-49b7-b43d-b38976c188e1,67.31,-8.68,5.87,0.06,100,0
z2_CHILLER_S,845546f0-12c3-4273-a253-4d8bc268285a,56.15,4,2.45,1.1,100,0
z3_CryoChiller_S,b78e567b-af59-40aa-b075-ad2d44268b1c,89.55,8.65,9.25,0.06,100,0
z2_CHILLER_P,b4b8947d-0b4b-40d9-956b-8b27ae8b51ac,56.15,-4,2.45,1.1,100,0
z2_Mission_Load_1,64d21c89-80e0-4d5b-a6aa-6fc8c746c8c4,44.03,0,14.32,10,100,0
z2_Railgun_Ammo_Handling,6f327646-136f-45f9-93f1-3243e1550547,44.85,0,11.37,0.4,100,0
z4_Mission_Load_2,ab3b2ad7-3c48-4523-a8f6-711429695071,113.37,0,15.47,0.3,100,0
