,,Cooling Load for Various Conditions,,,,Location,,,,"Pipe Diameter (OD or ID, not sure)",,,,,,,Constants,
Load Number,Priority,Shore,Design,Cruise,Battle,X,Y,Z,Max Load,in,,,,,,C,K,kW to ton
,1 = Highest,kW,kW,kW,kW,m,m,m,kW,in,,,,,,ft/sec-in^.5,gpm/ton,kW/ton
61,5,0,2.849,2.849,2.849,27.401,-2.510,5.804,2.84877,1.061290869,,,,,,,,
62,5,0,24.795,24.795,24.795,86.987,-3.190,5.804,24.79485,2.521831511,,,,,,,,
63,5,0,10.762,10.762,10.762,89.665,0.000,5.804,10.76202,1.806046762,,,,,,,,
64,5,0,43.103,43.103,43.103,73.682,0.000,5.804,43.1029452,3.146112523,,,,,,,,
65,5,0,22.896,22.896,22.896,86.987,-3.180,5.804,22.89567,2.442715092,,,,,,,,
66,5,0,3.376,3.376,3.376,73.682,-2.510,5.804,3.37632,1.135923053,,,,,,,,
67,5,0,19.468,17.991,19.468,117.200,-1.670,3.289,19.4676501,2.289269308,,,,,,,,
68,5,0,15.142,15.142,15.142,117.200,1.670,3.289,15.1417401,2.070340548,,,,,,,,
69,5,0,9.285,9.285,9.285,133.268,-6.860,5.804,9.28488,1.702479891,,,,,,,,
70,5,0,20.434,20.434,20.434,130.590,0.000,5.804,20.4341217,2.334069928,,,,,,,,
71,5,0,3.587,3.587,3.587,130.590,-6.860,5.804,3.58734,1.163805724,,,,,,,,
72,5,0,8.863,8.863,8.863,143.980,-5.350,5.804,8.86284,1.671093064,,,,,,,,
73,5,0,5.382,5.382,5.382,141.302,6.360,5.804,5.3820651,1.368834843,,,,,,,,
74,5,0,6.701,6.701,6.701,19.367,0.000,3.289,6.7009401,1.494258611,,,,,,,,
75,5,0,168.183,161.536,168.183,55.521,3.850,3.289,168.18294,5.423557501,,,,,,,,
76,6,0,103.190,103.190,100.236,55.521,5.020,5.804,103.1898351,4.460938545,,,,,,,,
77,6,0,43.470,43.470,43.470,64.559,3.850,5.804,43.47012,3.156805384,,,,,,,,
78,6,0,26.061,25.850,26.061,93.767,0.000,3.289,26.06097,2.572572977,,,,,,,,
79,6,0,159.426,156.999,159.426,100.128,0.000,3.289,159.42561,5.308779751,,,,,,,,
80,6,0,41.150,41.150,41.150,141.302,0.000,2.946,41.1499551,3.088298135,,,,,,,,
