start X,start Y,start Z,end X,end Y,end Z,diameter
group
67.7,10,2,67.7,10,5.24,0.0688736
67.7,10,5.24,67.7,-6.43,5.24,0.0688736
67.7,-10,8,67.7,-10,5.24,0.0688736
67.7,-10,5.24,67.7,-8.68,5.24,0.0688736
group
67.7,10,2,67.7,10,3.19,0.0939655
67.7,10,3.19,67.7,-2.5,3.19,0.0939655
67.7,-10,8,67.7,-10,3.19,0.0939655
67.7,-10,3.19,67.7,-2.5,3.19,0.0939655
group
67.7,10,2,67.7,10,3.19,0.0939655
67.7,10,3.19,67.7,2.5,3.19,0.0939655
67.7,-10,8,67.7,-10,3.19,0.0939655
67.7,-10,3.19,67.7,2.5,3.19,0.0939655
group
55.5,-1.5,7.62,46.6,-1.5,7.62,0.0359719
55.5,-1,7.62,55.5,-1,1.8,0.0123383
55.5,-1,1.8,55.75,-1,1.8,0.0123383
55.5,-1.5,7.62,55.5,-1,7.62,0.0585256
55.5,-1,7.62,55.5,-1,1.8,0.0123383
55.5,-1,1.8,58.5,-1,1.8,0.0123383
55.5,3.85,7.62,55.5,3.85,23,0.042741
55.5,-1,7.62,55.5,3.85,7.62,0.0585256
55.5,10,2,55.5,10,7.62,0.0585256
55.5,10,7.62,55.5,3.85,7.62,0.0585256
55.5,-10,8,55.5,-10,7.62,0.0585256
55.5,-10,7.62,55.5,-1.5,7.62,0.0585256
group
55,10,2,55,10,18.75,0.0755562
55,10,18.75,55,5,18.75,0.0755562
55,-10,8,55,-10,18.75,0.0755562
55,-10,18.75,55,5,18.75,0.0755562
group
55,10,2,55,10,18.75,0.0755562
55,10,18.75,55,-5,18.75,0.0755562
55,-10,8,55,-10,18.75,0.0755562
55,-10,18.75,55,-5,18.75,0.0755562
group
63.97,10,2,63.97,10,5.24,0.0569168
63.97,10,5.24,63.97,-6.75,5.24,0.0569168
63.97,-10,8,63.97,-10,5.24,0.0569168
63.97,-10,5.24,63.97,-6.75,5.24,0.0569168
group
89.53,10,2,89.53,10,8.22,0.0528389
89.53,10,8.22,89.53,7.13,8.22,0.0528389
89.53,-10,8,89.53,-10,8.22,0.0528389
89.53,-10,8.22,89.53,7.13,8.22,0.0528389
group
100,0,18.75,100,0,14.85,0.017536
100,0,14.85,95.33,0,14.85,0.017536
100,0,18.75,100,0,23,0.042741
100,0,23,99.5,0,23,0.042741
100,10,2,100,10,18.75,0.0885609
100,10,18.75,100,0,18.75,0.0885609
100,-10,8,100,-10,18.75,0.0885609
100,-10,18.75,100,0,18.75,0.0885609
group
105.02,10,2,105.02,10,2.11,0.106867
105.02,10,2.11,105.02,0.58,2.11,0.106867
105.02,-10,8,105.02,-10,2.11,0.106867
105.02,-10,2.11,105.02,0.58,2.11,0.106867
group
95.93,0,4.78,95.93,0,11.52,0.0224814
95.93,0,11.52,95.33,0,11.52,0.0224814
95.93,8,4.78,95.93,8,8.5,0.0110357
95.93,8,8.5,97,8,8.5,0.0110357
95.93,0,4.78,95.93,8,4.78,0.0735344
95.93,10,2,95.93,10,4.78,0.0735344
95.93,10,4.78,95.93,8,4.78,0.0735344
95.93,-10,8,95.93,-10,4.78,0.0735344
95.93,-10,4.78,95.93,0,4.78,0.0735344
group
80.29,10,2,80.29,10,3.49,0.151112
80.29,10,3.49,80.29,3.75,3.49,0.151112
80.29,-10,8,80.29,-10,3.49,0.151112
80.29,-10,3.49,80.29,3.75,3.49,0.151112
group
104.8,10,2,104.8,10,3.52,0.151112
104.8,10,3.52,104.8,-3.75,3.52,0.151112
104.8,-10,8,104.8,-10,3.52,0.151112
104.8,-10,3.52,104.8,-3.75,3.52,0.151112
group
91.41,3,3.19,89.02,3,3.19,0.0335637
91.41,4.97,3.19,91.41,4.97,8.22,0.0448611
91.41,3,3.19,91.41,4.97,3.19,0.0671048
91.41,5.38,3.19,91.41,5.38,2.85,0.0261152
91.41,5.38,2.85,87.3,5.38,2.85,0.0261152
91.41,4.97,3.19,91.41,5.38,3.19,0.0671048
91.41,5.38,3.19,91.41,5.38,2.85,0.0261152
91.41,5.38,2.85,91.7,5.38,2.85,0.0261152
91.41,10,2,91.41,10,3.19,0.0671048
91.41,10,3.19,91.41,5.38,3.19,0.0671048
91.41,-10,8,91.41,-10,3.19,0.0671048
91.41,-10,3.19,91.41,3,3.19,0.0671048
group
105.03,-7,3.8,104.09,-7,3.8,0.039017
105.03,0,3.8,105.03,0,10.97,0.042741
105.03,-7,3.8,105.03,0,3.8,0.0604449
105.03,6,3.8,105.03,6,3.4,0.0123383
105.03,6,3.4,104.16,6,3.4,0.0123383
105.03,0,3.8,105.03,6,3.8,0.0604449
105.03,6,3.8,105.03,6,3.4,0.0123383
105.03,6,3.4,106.9,6,3.4,0.0123383
105.03,10,2,105.03,10,3.8,0.0604449
105.03,10,3.8,105.03,6,3.8,0.0604449
105.03,-10,8,105.03,-10,3.8,0.0604449
105.03,-10,3.8,105.03,-7,3.8,0.0604449
group
87.57,-5.6,9.25,87.57,-5.6,19.83,0.0544843
87.57,-5.6,19.83,80.5,-5.6,19.83,0.0544843
87.57,4.92,9.25,87.57,4.92,8.22,0.0276443
87.57,-5.6,9.25,87.57,4.92,9.25,0.0724919
87.57,8.65,9.25,89.55,8.65,9.25,0.039017
87.57,4.92,9.25,87.57,8.65,9.25,0.0724919
87.57,10,2,87.57,10,9.25,0.0724919
87.57,10,9.25,87.57,8.65,9.25,0.0724919
87.57,-10,8,87.57,-10,9.25,0.0724919
87.57,-10,9.25,87.57,-5.6,9.25,0.0724919
group
89.88,10,2,89.88,10,2.85,0.0727853
89.88,10,2.85,89.88,-6.5,2.85,0.0727853
89.88,-10,8,89.88,-10,2.85,0.0727853
89.88,-10,2.85,89.88,-6.5,2.85,0.0727853
group
79.9,10,2,79.9,10,2.74,0.106867
79.9,10,2.74,79.9,-1.06,2.74,0.106867
79.9,-10,8,79.9,-10,2.74,0.106867
79.9,-10,2.74,79.9,-1.06,2.74,0.106867
group
96.31,10,2,96.31,10,2.85,0.0727853
96.31,10,2.85,96.31,-6.5,2.85,0.0727853
96.31,-10,8,96.31,-10,2.85,0.0727853
96.31,-10,2.85,96.31,-6.5,2.85,0.0727853
group
93.13,10,2,93.13,10,3.19,0.0939655
93.13,10,3.19,93.13,-3,3.19,0.0939655
93.13,-10,8,93.13,-10,3.19,0.0939655
93.13,-10,3.19,93.13,-3,3.19,0.0939655
group
80.5,10,2,80.5,10,19.83,0.0544843
80.5,10,19.83,80.5,5.6,19.83,0.0544843
80.5,-10,8,80.5,-10,19.83,0.0544843
80.5,-10,19.83,80.5,5.6,19.83,0.0544843
group
128.6,0,5.22,128.6,0,11.69,0.00971516
128.6,0,11.69,112.64,0,11.69,0.00971516
128.6,0,5.22,128.6,0,5.41,0.00955718
128.6,0,5.41,124.02,0,5.41,0.00955718
128.6,10,2,128.6,10,5.22,0.067602
128.6,10,5.22,128.6,0,5.22,0.067602
128.6,-10,8,128.6,-10,5.22,0.067602
128.6,-10,5.22,128.6,0,5.22,0.067602
group
136.3,-1.13,6.14,136.3,-1.13,4.9,0.0123383
136.3,-1.13,4.9,136.5,-1.13,4.9,0.0123383
136.3,-1.09,6.14,136.3,-1.09,4.9,0.0123383
136.3,-1.09,4.9,134.99,-1.09,4.9,0.0123383
136.3,-1.13,6.14,136.3,-1.09,6.14,0.0582649
136.3,1.18,6.14,136.55,1.18,6.14,0.041549
136.3,-1.09,6.14,136.3,1.18,6.14,0.0582649
136.3,3.54,6.14,136.3,3.54,8.5,0.0261152
136.3,3.54,8.5,132,3.54,8.5,0.0261152
136.3,1.18,6.14,136.3,3.54,6.14,0.0582649
136.3,3.54,6.14,136.3,3.54,8.5,0.0261152
136.3,10,2,136.3,10,6.14,0.0582649
136.3,10,6.14,136.3,3.54,6.14,0.0582649
136.3,-10,8,136.3,-10,6.14,0.0582649
136.3,-10,6.14,136.3,-1.13,6.14,0.0582649
group
133.8,1.13,6.01,132.42,1.13,6.01,0.0323159
133.8,3.41,6.02,134.46,3.41,6.02,0.0528389
133.8,1.13,6.02,133.8,3.41,6.02,0.0704471
133.8,6.51,6.02,133.8,6.51,8.15,0.0335637
133.8,3.41,6.02,133.8,6.51,6.02,0.0704471
133.8,10,2,133.8,10,6.02,0.0704471
133.8,10,6.02,133.8,6.51,6.02,0.0704471
133.8,-10,8,133.8,-10,6.02,0.0704471
133.8,-10,6.02,133.8,1.13,6.02,0.0704471
